Date,AAPL,ABBV,ABT,ADBE,AMAT,AMD,AMZN,AON,AVGO,AXP,BA,BAC,BKNG,BLK,BMY,BX,C,CAT,CB,CHTR,CL,CMCSA,CME,COP,COST,CRM,CSCO,CVX,D,DE,DHR,DIS,DUK,EL,EOG,FDX,GE,GOOGL,GS,HAL,HD,HON,ICE,INTC,INTU,JNJ,JPM,KMB,KO,KR,LIN,LLY,LMT,LOW,MA,MAR,MCD,MCO,MDLZ,META,MO,MPC,MRK,MS,MSFT,NEE,NFLX,NKE,NOW,NVDA,OKE,ORCL,PANW,PEP,PFE,PG,PM,PSX,PYPL,QCOM,RTX,SBUX,SCHW,SHOP,SLB,SPGI,T,TGT,TMO,TMUS,TRV,TXN,UNH,UPS,V,VZ,WFC,WMB,WMT,XOM
2022-12-08,140.5299072265625,148.7181854248047,100.86094665527344,332.5799865722656,105.7204818725586,70.47000122070312,90.3499984741211,299.92413330078125,50.45341491699219,148.47735595703125,179.0800018310547,29.98523712158203,1978.3883056640625,654.3668823242188,69.9420394897461,72.19751739501953,40.07197189331055,219.40219116210938,210.47732543945312,374.30999755859375,72.76797485351562,31.78010368347168,155.0459747314453,101.48027038574219,462.0543518066406,128.775390625,44.87724304199219,152.99050903320312,50.17474365234375,425.01959228515625,237.46917724609375,91.03242492675781,89.2105484008789,229.6425323486328,110.20108795166016,160.91114807128906,51.322357177734375,93.00726318359375,332.093505859375,32.57307434082031,300.2905578613281,188.51058959960938,100.39578247070312,27.424060821533203,397.4074401855469,161.75221252441406,123.41183471679688,122.0931625366211,58.304954528808594,44.387908935546875,321.75482177734375,363.0633544921875,447.3247375488281,191.8253173828125,345.05047607421875,155.89483642578125,255.06307983398438,282.6773681640625,62.566322326660156,114.62338256835938,36.81577682495117,101.96578979492188,101.35761260986328,80.13742065429688,241.62303161621094,78.59342193603516,31.025999069213867,105.60409545898438,396.2300109863281,17.15182876586914,54.77968978881836,77.15156555175781,80.38999938964844,166.45611572265625,43.529598236083984,140.28269958496094,88.58908081054688,90.52165222167969,74.04882049560547,113.7380142211914,92.98729705810547,96.46424865722656,76.8221206665039,38.63999938964844,46.30485153198242,344.18353271484375,16.148283004760742,138.94366455078125,563.0339965820312,138.93565368652344,177.34127807617188,161.02928161621094,518.6983032226562,154.2111358642578,204.42698669433594,30.315183639526367,39.36914825439453,29.051095962524414,47.90949630737305,94.18517303466797
2022-12-09,140.0471954345703,146.09304809570312,101.41751861572266,330.6400146484375,104.48428344726562,68.58999633789062,89.08999633789062,299.0533142089844,51.74923324584961,148.26539611816406,179.5399932861328,29.929779052734375,1987.4599609375,657.6320190429688,69.02267456054688,71.67693328857422,40.22441101074219,215.95321655273438,208.70077514648438,380.57000732421875,72.43273162841797,32.09817123413086,156.47219848632812,99.15504455566406,463.5899963378906,129.7451934814453,44.39173126220703,148.1065673828125,50.166133880615234,417.22796630859375,235.30259704589844,91.84881591796875,89.12174987792969,227.55075073242188,107.63558197021484,162.39060974121094,49.984519958496094,92.13386535644531,333.0765686035156,30.83559226989746,296.9456481933594,186.99081420898438,99.32875061035156,27.231204986572266,391.98590087890625,160.41944885253906,122.74313354492188,121.59324645996094,57.6927604675293,43.46199035644531,319.4278564453125,352.516845703125,445.6658935546875,190.13851928710938,342.751220703125,156.37998962402344,253.8036346435547,280.8342590332031,62.075706481933594,115.18989562988281,36.69792175292969,100.07356262207031,99.46485900878906,80.84221649169922,239.6892547607422,77.44786834716797,32.000999450683594,103.7643814086914,393.5799865722656,16.98399543762207,54.29271697998047,76.94922637939453,79.44999694824219,165.84024047851562,43.479156494140625,139.91184997558594,88.6151123046875,87.9199447631836,73.40031433105469,111.2156753540039,91.8470458984375,94.65101623535156,76.41048431396484,38.380001068115234,43.56848907470703,338.27166748046875,16.122943878173828,137.20469665527344,555.3807373046875,136.7716064453125,175.38572692871094,159.11183166503906,510.443359375,152.5027618408203,204.03590393066406,30.560319900512695,39.2951774597168,28.768617630004883,46.7921028137207,93.39141082763672
2022-12-12,142.34262084960938,148.11788940429688,103.2853012084961,338.1700134277344,106.46027374267578,70.66999816894531,90.55000305175781,300.9317321777344,52.88070297241211,151.55055236816406,186.27000427246094,30.25328826904297,2046.5137939453125,659.7529296875,69.07520294189453,75.32103729248047,41.040367126464844,221.43544006347656,208.89285278320312,384.3999938964844,73.2056655883789,33.188716888427734,158.27462768554688,100.7412338256836,468.0625305175781,131.724365234375,45.16122055053711,149.64930725097656,51.62946319580078,419.37738037109375,238.92811584472656,93.10783386230469,90.87132263183594,231.3651885986328,109.74990844726562,167.13992309570312,51.064605712890625,92.61026000976562,336.8233947753906,32.040618896484375,303.8948974609375,189.52671813964844,101.18402099609375,27.665128707885742,402.72100830078125,162.33641052246094,124.64707946777344,123.16452026367188,58.45115661621094,43.686466217041016,323.12017822265625,358.6299133300781,448.1910705566406,193.25772094726562,351.9284362792969,158.33035278320312,258.0765075683594,283.8281555175781,62.371917724609375,114.00717163085938,36.89433670043945,104.1765365600586,99.63860321044922,82.33309936523438,246.6137237548828,79.3174057006836,31.51799964904785,106.27739715576172,401.6400146484375,17.51746368408203,56.34311294555664,78.31745147705078,80.88999938964844,166.62823486328125,43.84904479980469,141.3488006591797,89.05779266357422,91.5713119506836,73.62979125976562,113.23355102539062,93.05271911621094,95.49718475341797,76.86042022705078,38.380001068115234,45.544227600097656,338.7008972167969,16.300302505493164,135.17745971679688,562.6869506835938,137.57347106933594,176.76499938964844,162.0518798828125,516.7481689453125,156.70077514648438,209.79429626464844,31.009742736816406,39.62803268432617,29.298259735107422,47.66476821899414,95.69147491455078
2022-12-13,143.30801391601562,147.64305114746094,105.20968627929688,342.4599914550781,108.89376831054688,71.6500015258789,92.48999786376953,303.2698974609375,54.24967575073242,151.75286865234375,187.1300048828125,30.27177619934082,2014.8616943359375,673.632080078125,67.726806640625,76.20696258544922,41.775634765625,223.74427795410156,208.4223175048828,392.67999267578125,73.33604431152344,33.36137390136719,155.85971069335938,102.21028137207031,468.5616149902344,134.208251953125,45.47267532348633,152.9817352294922,51.62946319580078,419.51171875,241.71499633789062,93.14717102050781,91.56404113769531,234.88624572753906,112.75772857666016,166.67819213867188,50.86208724975586,94.91285705566406,341.9335021972656,34.562774658203125,308.4443664550781,189.93313598632812,102.26065826416016,27.703702926635742,419.9855651855469,163.5869598388672,124.52631378173828,123.83404541015625,58.46943283081055,42.50802230834961,329.27386474609375,350.2415771484375,442.5693359375,199.04376220703125,350.92620849609375,158.2818145751953,255.8933563232422,294.15576171875,62.575557708740234,119.41385650634766,36.776493072509766,104.09223937988281,101.41248321533203,83.76976776123047,250.92074584960938,79.86724090576172,32.034000396728516,107.01707458496094,416.1700134277344,18.053930282592773,57.205989837646484,77.62370300292969,80.375,166.53762817382812,44.61404800415039,141.1355743408203,88.81475830078125,91.6251449584961,73.53001403808594,115.36349487304688,93.36116790771484,94.94859313964844,74.42890930175781,38.779998779296875,47.35301971435547,348.9442138671875,16.148283004760742,135.93426513671875,566.434326171875,135.815185546875,176.70834350585938,162.07017517089844,509.51556396484375,157.83399963378906,208.27891540527344,30.936193466186523,39.406131744384766,29.827909469604492,47.49409103393555,96.73778533935547
2022-12-14,141.08160400390625,147.7057342529297,104.95501708984375,339.9200134277344,106.72308349609375,68.93000030517578,91.58000183105469,299.50335693359375,54.57267761230469,148.4677276611328,188.25,29.837345123291016,1974.4921875,661.8831176757812,67.54292297363281,73.61315155029297,41.22867202758789,222.78463745117188,208.21107482910156,328.3399963378906,73.8854751586914,32.12543487548828,153.05104064941406,101.7236099243164,464.0698547363281,133.34730529785156,45.16122055053711,151.92381286621094,51.018306732177734,420.71112060546875,239.5746612548828,92.60618591308594,91.74166870117188,235.88951110839844,112.73086547851562,167.799560546875,50.045101165771484,94.35706329345703,334.2265625,34.14241409301758,308.94464111328125,189.7210693359375,100.26367950439453,27.250492095947266,410.70135498046875,164.08901977539062,123.904052734375,124.18224334716797,58.46943283081055,41.8626708984375,328.8507995605469,354.9679870605469,447.1497497558594,199.88243103027344,351.2799377441406,154.604248046875,256.1265869140625,290.2451171875,62.26084518432617,120.84501647949219,37.02790069580078,103.92362976074219,102.67346954345703,81.77288055419922,251.21377563476562,79.77562713623047,31.783000946044922,105.68944549560547,418.3900146484375,17.656326293945312,56.88988494873047,78.83777618408203,80.11499786376953,166.0757293701172,45.799381256103516,141.69180297851562,88.936279296875,90.86256408691406,72.46248626708984,113.70063781738281,93.4172134399414,95.02296447753906,74.01728057861328,38.2400016784668,46.777923583984375,345.1883239746094,15.962472915649414,137.41192626953125,562.6156005859375,137.5348358154297,176.3209991455078,160.53623962402344,509.64813232421875,158.22889709472656,208.55267333984375,30.601173400878906,38.99931335449219,29.766124725341797,47.23004150390625,96.02521514892578
2022-12-15,134.4713134765625,146.12887573242188,102.37026977539062,328.7099914550781,101.77823638916016,66.52999877929688,88.44999694824219,297.0771484375,53.01085662841797,144.72015380859375,183.72000122070312,29.365936279296875,1934.0438232421875,649.4737548828125,65.66918182373047,70.69054412841797,40.00920867919922,219.15518188476562,205.1070098876953,313.42999267578125,72.52584838867188,31.45293426513672,150.90736389160156,101.43519592285156,445.24871826171875,129.08218383789062,44.10776138305664,150.78656005859375,50.64817810058594,412.41094970703125,235.94906616210938,89.0062026977539,91.04007720947266,227.73060607910156,113.35749053955078,163.18215942382812,48.41112518310547,90.17862701416016,324.44219970703125,34.273189544677734,303.54278564453125,184.64051818847656,98.61399841308594,26.18014144897461,388.7507019042969,162.01690673828125,120.82991790771484,121.7896499633789,57.665348052978516,40.67488479614258,318.0721130371094,351.5598449707031,441.25146484375,196.0282440185547,340.2161865234375,150.800537109375,253.5143280029297,279.7516784667969,61.45549774169922,115.43836975097656,36.8864860534668,103.85806274414062,100.90623474121094,79.32423400878906,243.19544982910156,78.63923645019531,29.041000366210938,102.90141296386719,400.6400146484375,16.935043334960938,55.25811767578125,77.15156555175781,76.29499816894531,163.2589111328125,45.06801223754883,140.0880126953125,87.90333557128906,91.03302001953125,69.60907745361328,108.96427154541016,92.05265045166016,92.97724914550781,73.76838684082031,36.38999938964844,46.48108673095703,336.1546936035156,15.599305152893066,132.98800659179688,549.2848510742188,135.4480438232422,173.4207305908203,155.2312774658203,499.5376892089844,155.5675506591797,203.2635498046875,30.862655639648438,38.25038528442383,29.571914672851562,46.80820083618164,95.10517883300781
2022-12-16,132.51092529296875,143.78152465820312,100.85151672363281,338.5400085449219,101.94371795654297,65.41000366210938,87.86000061035156,292.28338623046875,52.81230163574219,140.9436492919922,184.6999969482422,29.30123519897461,1907.3408203125,651.3714599609375,64.34703063964844,68.85478210449219,39.76710510253906,221.1124267578125,204.05624389648438,304.9599914550781,72.41410064697266,31.34388542175293,149.72613525390625,99.53356170654297,442.8877258300781,126.93476104736328,43.79630661010742,148.7412567138672,50.458805084228516,413.6583557128906,228.91636657714844,88.6029281616211,89.11286926269531,228.05238342285156,112.587646484375,161.81581115722656,47.69856262207031,89.5831298828125,321.21478271484375,33.488525390625,299.5956726074219,185.3208770751953,97.20550537109375,25.958356857299805,377.4272766113281,160.3555908203125,120.07763671875,120.80763244628906,57.336402893066406,41.45115661621094,316.9471130371094,351.423095703125,444.0162353515625,194.256591796875,339.8133850097656,149.22857666015625,248.2803955078125,274.77813720703125,61.24260330200195,118.69825744628906,36.580074310302734,102.80887603759766,100.51045227050781,78.48390197753906,238.976318359375,77.10879516601562,29.070999145507812,100.47371673583984,394.3699951171875,16.554428100585938,55.09579086303711,76.67943572998047,75.5,163.34042358398438,43.210140228271484,139.46688842773438,87.04401397705078,90.28839111328125,69.10025787353516,106.99311828613281,91.91246795654297,91.89862060546875,74.85011291503906,36.09000015258789,45.803958892822266,331.2965393066406,15.61620044708252,131.95187377929688,532.0761108398438,137.5348358154297,172.69329833984375,154.81124877929688,495.77008056640625,152.98348999023438,202.266357421875,30.331523895263672,38.083961486816406,28.556760787963867,45.96773910522461,94.43769836425781
2022-12-19,130.40269470214844,144.6864013671875,100.54963684082031,328.760009765625,101.22340393066406,64.58999633789062,84.91999816894531,290.6202087402344,52.6513671875,139.70086669921875,185.67999267578125,29.633995056152344,1900.3453369140625,644.1620483398438,64.0580825805664,67.1103515625,39.3905029296875,220.70384216308594,204.326171875,306.1600036621094,72.61898040771484,30.880409240722656,149.3411407470703,99.53356170654297,440.1810607910156,127.66703796386719,43.42072677612305,149.76393127441406,51.001094818115234,415.17449951171875,226.0247039794922,84.3734359741211,89.01517486572266,223.6038055419922,112.37278747558594,159.0453643798828,47.950416564941406,87.77678680419922,319.6009826660156,33.68470001220703,294.0269775390625,185.029296875,96.74244689941406,25.8330020904541,375.9958801269531,160.18215942382812,120.79277801513672,121.11116027832031,57.41864776611328,41.5259895324707,314.4664001464844,349.3822021484375,444.0162353515625,191.4578094482422,335.3131408691406,146.88034057617188,248.00979614257812,271.4233703613281,60.8167839050293,113.7785873413086,36.438663482666016,104.04541015625,100.73136138916016,77.30023193359375,234.83535766601562,76.54059600830078,28.829999923706055,97.72362518310547,382.29998779296875,16.237741470336914,54.138938903808594,77.5658950805664,75.26000213623047,164.2461395263672,43.17652130126953,139.42977905273438,87.33045959472656,90.261474609375,68.79096984863281,105.1994857788086,91.16474914550781,91.40579223632812,74.91714477539062,35.5,46.22137451171875,327.4528503417969,15.084115982055664,130.33004760742188,525.8570556640625,136.8199005126953,173.36402893066406,153.03990173339844,495.67523193359375,153.18096923828125,200.2426300048828,30.257980346679688,38.666446685791016,28.309589385986328,45.98384475708008,94.86165618896484
2022-12-20,130.333740234375,143.87112426757812,100.45530700683594,338.2200012207031,100.74644470214844,65.05000305175781,85.19000244140625,291.35400390625,52.11396026611328,140.3656005859375,188.2899932861328,29.754152297973633,1926.9794921875,643.3154907226562,63.61152648925781,66.754150390625,39.28290557861328,223.41171264648438,206.96751403808594,309.2900085449219,72.34891510009766,31.271183013916016,148.03744506835938,101.52532958984375,439.4036865234375,127.11287689208984,43.393245697021484,152.2235565185547,51.285152435302734,417.7557067871094,223.29896545410156,85.59309387207031,88.99740600585938,224.9289093017578,113.232177734375,154.87088012695312,49.34482955932617,88.35243225097656,319.48968505859375,34.95510482788086,291.71978759765625,186.8671112060547,96.84854888916016,25.49550437927246,379.48602294921875,160.3555908203125,121.37788391113281,120.86119842529297,57.372955322265625,41.694339752197266,316.2740783691406,351.19854736328125,448.034423828125,189.2809600830078,336.97369384765625,145.94883728027344,249.3346405029297,268.0686340332031,60.95563507080078,116.37259674072266,36.48579025268555,105.86270141601562,100.97987365722656,76.94783782958984,236.15380859375,76.54059600830078,28.819000244140625,97.87535095214844,386.4700012207031,16.068912506103516,54.250003814697266,77.98985290527344,74.63999938964844,164.14651489257812,43.14289093017578,139.4854278564453,87.59955596923828,92.0826644897461,68.6014175415039,104.72305297851562,91.76290893554688,91.1268310546875,76.16160583496094,35.9900016784668,48.01160430908203,323.9896240234375,15.26147747039795,129.0686798095703,524.2007446289062,135.58328247070312,175.51800537109375,151.6520233154297,492.4662170410156,149.06021118164062,200.7705535888672,30.22530174255371,37.88979721069336,28.556760787963867,46.38636779785156,96.232666015625
2022-12-21,133.4369354248047,145.33152770996094,102.0118179321289,341.3800048828125,103.08260345458984,67.68000030517578,86.7699966430664,296.4608154296875,53.76258087158203,141.71437072753906,196.0,30.207073211669922,1939.170166015625,663.2040405273438,64.20694732666016,69.2657470703125,40.17957305908203,229.6730194091797,210.8812713623047,321.3399963378906,73.55953216552734,31.88007164001465,151.25733947753906,104.79683685302734,443.47320556640625,128.94363403320312,43.658897399902344,154.01316833496094,51.689720153808594,423.7817687988281,227.99908447265625,85.49473571777344,90.51608276367188,230.82565307617188,116.38323211669922,160.18557739257812,50.972660064697266,88.90823364257812,324.74822998046875,36.08540725708008,295.90789794921875,190.05685424804688,98.9323501586914,25.871572494506836,385.6133728027344,162.19032287597656,122.74313354492188,122.271728515625,58.29581832885742,41.58210372924805,316.0241394042969,359.3720703125,449.4168395996094,190.7604522705078,339.6659240722656,144.3380584716797,250.18362426757812,275.42181396484375,61.9183464050293,119.02623748779297,36.55796432495117,107.3052978515625,102.26844787597656,78.4929428100586,238.72238159179688,77.576171875,29.79599952697754,109.79563903808594,391.9100036621094,16.484500885009766,55.54004669189453,78.5294418334961,73.70999908447266,165.29678344726562,43.428707122802734,140.76475524902344,88.36433410644531,92.71963500976562,69.05036926269531,107.0491943359375,93.2396469116211,91.74983215332031,77.77943420410156,36.189998626708984,49.44935607910156,329.1990661621094,15.329044342041016,128.2126922607422,535.498046875,136.6749725341797,178.94728088378906,154.0625457763672,499.4051818847656,151.67860412597656,202.18814086914062,30.870826721191406,38.01924133300781,29.10405921936035,46.750244140625,97.46837615966797
